,typ,iLTs,ACR,net_delay,mouse_clicks,subject
54,map,"1556619737013:14090,1556619755279:13570,1556619793539:3,1556619793767:6768",1,1500ms,"-9:Down:1556619744289:105:178:0,up:1556619744408:105-178:0,-9:Down:1556619744802:104:168:0,up:1556619744920:104-168:0,up:1556619751543:108-162:0,up:1556619755031:113-193:0,up:1556619770567:94-86:0,up:1556619771127:94-86:0,up:1556619772551:94-86:0,-9:Down:1556619775073:640:212:0,up:1556619775688:472-548:0,-9:Down:1556619776210:787:229:0,up:1556619776689:595-565:0,-9:Down:1556619777169:965:229:0,up:1556619777664:875-544:0,up:1556619792992:105-124:0,up:1556619793535:105-124:0,-9:Down:1556619800368:589:720:0,up:1556619800447:589-720:0,6768:Down:1556619801440:467:798:0,up:1556619801543:467-798:0,6768:Down:1556619801927:472:789:0,up:1556619802039:470-787:0,6768:Down:1556619802440:467:781:0,up:1556619802519:467-781:0,6768:Down:1556619803519:606:833:0,up:1556619803647:606-833:0",4
55,map,"1556619803914:3780,1556619812216:3651,1556619820355:3652,1556619826196:3,1556619826443:1782",4,400ms,"3780:Down:1556619808488:110:176:0,up:1556619808599:110-176:0,up:1556619811967:146-182:0,up:1556619817495:94-86:0,up:1556619817879:94-86:0,-9:Down:1556619819248:914:126:0,up:1556619819656:722-554:0,-9:Down:1556619820080:867:228:0,up:1556619820672:692-684:0,up:1556619825759:96-120:0,up:1556619826192:96-120:0,1782:Down:1556619833145:668:782:0,up:1556619834215:671-783:0,1782:Down:1556619839759:655:825:0,up:1556619840423:655-825:0",4
56,map,"1556619840666:5814,1556619850508:5479,1556619862885:5050,1556619869537:3021",3,600ms,"5814:Down:1556619847203:91:171:0,up:1556619847312:91-171:0,up:1556619850255:114-190:0,up:1556619856983:98-94:0,up:1556619857343:98-94:0,up:1556619857593:98-94:0,up:1556619857863:98-94:0,-9:Down:1556619860904:832:93:0,up:1556619861376:537-502:0,-9:Down:1556619861749:745:220:0,up:1556619862200:608-606:0,-9:Down:1556619862650:842:230:0,up:1556619862976:722-443:0,up:1556619868823:101-117:0,up:1556619869287:101-117:0,-9:Down:1556619870944:583:733:0,up:1556619871007:583-733:0,-9:Down:1556619871455:581:722:0,up:1556619871568:581-722:0,3021:Down:1556619872672:609:782:0,up:1556619872783:609-782:0,3021:Down:1556619875768:663:825:0,up:1556619875919:663-825:0",4
57,sat,"1556619876099:482,1556619887064:596,1556619889598:1203,1556619892204:163,1556619893012:165,1556619893213:80,1556619894382:152,1556619894584:8,1556619896851:86,1556619897103:187,1556619897698:2,1556619897951:458",5,1ms,"482:Down:1556619878435:103:173:0,up:1556619878536:103-173:0,482:Down:1556619881899:187:205:0,up:1556619882008:187-205:0,482:Down:1556619883362:110:168:0,up:1556619883447:110-168:0,up:1556619884098:139-164:0,up:1556619886815:156-188:0,up:1556619889135:93-85:0,up:1556619889359:93-85:0,up:1556619889583:93-85:0,up:1556619889807:93-85:0,up:1556619890031:93-85:0,up:1556619890280:93-85:0,up:1556619890511:93-85:0,1203:Down:1556619891970:797:123:0,up:1556619892296:678-495:0,163:Down:1556619892738:845:193:0,up:1556619893272:706-504:0,80:Down:1556619894145:914:202:0,up:1556619894617:636-425:0,up:1556619896847:96-122:0,up:1556619897695:102-120:0,458:Down:1556619901175:588:711:0,up:1556619901295:588-711:0,458:Down:1556619901607:585:714:0,up:1556619901711:585-714:0,458:Down:1556619903831:678:785:0,up:1556619904183:685-788:0,458:Down:1556619904543:738:790:0,up:1556619904640:738-790:0,458:Down:1556619904927:749:783:0,up:1556619905024:747-783:0,458:Down:1556619905311:732:783:0,up:1556619905415:732-783:0,458:Down:1556619905671:745:785:0,up:1556619905799:745-785:0,458:Down:1556619906703:651:828:0,up:1556619907392:651-828:0",4
58,sat,"1556619907660:1360,1556619913799:1387,1556619916988:1854,1556619918957:460,1556619920040:1035,1556619921215:344,1556619923371:1037,1556619925271:1556",4,110ms,"1360:Down:1556619910593:110:165:0,up:1556619910719:110-165:0,up:1556619913543:120-182:0,up:1556619916591:88-86:0,up:1556619916983:88-86:0,up:1556619917335:87-85:0,-9:Down:1556619918623:780:165:0,up:1556619919136:562-525:0,460:Down:1556619919576:810:256:0,up:1556619920144:637-610:0,-9:Down:1556619920770:924:175:0,up:1556619921217:830-337:0,up:1556619923136:102-115:0,up:1556619925015:102-115:0,1556:Down:1556619927423:672:782:0,up:1556619927543:672-782:0,1556:Down:1556619928583:585:716:0,up:1556619928671:585-716:0,1556:Down:1556619929279:635:814:0,up:1556619929383:635-814:0",4
59,sat,"1556619929645:10009,1556619941282:10249,1556619958781:17750,1556619978929",2,850ms,"-9:Down:1556619937922:96:159:0,up:1556619938023:96-159:0,up:1556619941031:160-187:0,up:1556619952567:102-86:0,up:1556619953047:102-86:0,up:1556619953631:102-86:0,-9:Down:1556619957322:659:144:0,up:1556619957840:269-512:0,-9:Down:1556619958314:649:181:0,up:1556619958824:567-554:0,up:1556619977846:92-124:0,up:1556619978679:92-124:0,-9:Down:1556619981976:584:719:0,up:1556619982110:583-718:0,-9:Down:1556619984863:542:778:0,up:1556619984998:540-778:0,-9:Down:1556619985936:644:829:0,up:1556619986063:644-829:0",4
60,sat,"1556619986335:2460,1556619992638:2513,1556620001585:2150,1556620006344:1997,1556620008666:2,1556620008919:1229",3,200ms,"2460:Down:1556619989602:95:152:0,up:1556619989695:95-152:0,up:1556619992383:150-184:0,up:1556619996895:102-85:0,up:1556619997311:102-85:0,up:1556619997607:102-85:0,up:1556619997887:102-85:0,-9:Down:1556619999369:783:161:0,up:1556619999808:681-489:0,-9:Down:1556620000288:871:203:0,up:1556620000759:680-519:0,-9:Down:1556620001240:904:243:0,up:1556620001832:727-476:0,up:1556620006095:110-124:0,up:1556620008663:96-117:0,1229:Down:1556620011592:584:717:0,up:1556620012687:584-717:0,1229:Down:1556620014072:614:780:0,up:1556620014167:614-780:0,1229:Down:1556620014616:604:785:0,up:1556620014711:604-784:0,1229:Down:1556620015167:628:836:0,up:1556620015255:628-836:0",4
61,sat,"1556620015519:6995,1556620028361:7235,1556620041935:11039,1556620055954:4,1556620056209:3674",3,600ms,"6995:Down:1556620024252:97:159:0,up:1556620024399:97-159:0,up:1556620028103:90-182:0,up:1556620037215:89-86:0,up:1556620037703:89-86:0,up:1556620038279:89-86:0,-9:Down:1556620040825:808:147:0,up:1556620041202:580-599:0,-9:Down:1556620041671:794:196:0,up:1556620042168:608-642:0,up:1556620055447:96-123:0,up:1556620055951:104-123:0,3674:Down:1556620060303:604:780:0,up:1556620060391:604-780:0,3674:Down:1556620063143:613:828:0,up:1556620063271:613-828:0",4
62,sat,"1556620063519:4644,1556620072440:4951,1556620082529:7608,1556620091491:3,1556620091737:2574",3,400ms,"4644:Down:1556620069555:104:162:0,up:1556620069655:104-162:0,up:1556620072191:175-197:0,up:1556620078703:108-92:0,up:1556620078920:108-92:0,up:1556620079111:108-92:0,up:1556620079376:108-92:0,up:1556620079631:108-92:0,-9:Down:1556620081514:703:131:0,up:1556620081866:420-588:0,-9:Down:1556620082264:687:264:0,up:1556620082632:450-700:0,up:1556620090815:94-110:0,up:1556620091487:94-110:0,2574:Down:1556620095935:610:785:0,up:1556620096055:610-785:0,2574:Down:1556620097304:583:729:0,up:1556620097407:583-729:0,2574:Down:1556620097922:580:717:0,up:1556620098015:580-717:0,2574:Down:1556620098793:642:827:0,up:1556620098911:642-827:0",4
63,sat,"1556620099172:23806,1556620128060:24035,1556620153043",1,2000ms,"-9:Down:1556620106134:105:156:0,up:1556620106255:106-156:0,up:1556620113119:121-163:0,up:1556620123535:121-163:0,up:1556620127815:130-192:0,up:1556620152751:95-92:0,up:1556620153039:95-92:0,up:1556620153272:95-92:0,up:1556620153479:95-92:0,up:1556620153711:95-92:0,-9:Down:1556620163632:646:731:0,up:1556620163775:646-731:0,-9:Down:1556620164150:642:720:0,up:1556620164263:643-720:0,-9:Down:1556620164656:651:723:0,up:1556620164767:651-723:0,-9:Down:1556620165759:484:791:0,up:1556620165862:484-791:0,-9:Down:1556620166144:469:789:0,up:1556620166246:469-789:0,-9:Down:1556620166942:464:783:0,up:1556620167086:464-783:0,-9:Down:1556620167375:473:784:0,up:1556620167487:473-784:0,-9:Down:1556620168704:647:827:0,up:1556620168806:647-827:0",4
64,sat,"1556620168818:18043,1556620193438:18036",1,1500ms,"18043:Down:1556620189723:100:156:0,up:1556620189871:100-156:0,up:1556620193183:107-183:0,18036:Down:1556620213329:640:719:0,up:1556620213447:640-719:0,18036:Down:1556620213681:642:718:0,up:1556620213791:642-718:0,18036:Down:1556620214112:644:715:0,up:1556620214231:644-715:0,18036:Down:1556620214624:648:715:0,up:1556620214727:648-715:0,18036:Down:1556620215888:478:782:0,up:1556620216007:478-782:0,18036:Down:1556620216336:475:784:0,up:1556620216463:475-784:0,18036:Down:1556620217337:618:824:0,up:1556620217447:618-824:0",4
65,sat,"1556620217703:12995,1556620231714:13239,1556620275727:16916",2,1100ms,"-9:Down:1556620224853:110:160:0,up:1556620224959:110-160:0,up:1556620231455:155-190:0,up:1556620246631:107-82:0,up:1556620246864:107-82:0,up:1556620247079:107-82:0,up:1556620247280:105-80:0,-9:Down:1556620251809:718:176:0,up:1556620252241:601-578:0,-9:Down:1556620252626:835:233:0,up:1556620253105:654-629:0,up:1556620274943:106-117:0,up:1556620275487:106-117:0,-9:Down:1556620277872:585:726:0,up:1556620277999:584-726:0,-9:Down:1556620279247:534:792:0,up:1556620279367:534-792:0,-9:Down:1556620279632:534:790:0,up:1556620279751:534-790:0,-9:Down:1556620280328:534:785:0,up:1556620280471:534-785:0,16916:Down:1556620294171:667:818:0,up:1556620294351:667-818:0",4
66,map,"1556621154097:187,1556621154348:6823,1556621178916:5741",3,850ms,"0:Down:1556621150021:93:154:0,up:1556621150109:93-154:0,up:1556621154093:144-193:0,-9:Down:1556621159560:367:161:0,up:1556621159757:367-161:0,up:1556621162037:101-81:0,up:1556621163301:101-81:0,-9:Down:1556621167615:767:301:0,up:1556621168080:702-507:0,-9:Down:1556621168382:632:269:0,up:1556621168662:717-493:0,-9:Down:1556621168977:598:343:0,up:1556621169310:688-522:0,-9:Down:1556621170558:1005:440:0,up:1556621171014:797-461:0,-9:Down:1556621171631:920:393:0,up:1556621172102:677-555:0,-9:Down:1556621174302:909:333:0,up:1556621175622:710-566:0,up:1556621177798:96-119:0,up:1556621178661:96-119:0,5741:Down:1556621192079:584:719:0,up:1556621194005:584-719:0,5741:Down:1556621206807:607:783:0,up:1556621206893:607-783:0,5741:Down:1556621209629:636:829:0,up:1556621211709:639-828:0",5
67,map,1556621233922:6007,1,1800ms,"-9:Down:1556621213760:104:166:0,up:1556621213845:104-166:0,up:1556621216965:140-192:0,up:1556621221845:97-83:0,up:1556621222333:97-83:0,-9:Down:1556621228504:807:281:0,up:1556621229622:683-456:0,-9:Down:1556621233600:835:322:0,up:1556621234598:852-584:0,-9:Down:1556621238975:654:717:0,up:1556621239149:654-717:0,6007:Down:1556621240230:462:779:0,up:1556621240325:462-779:0,6007:Down:1556621240641:474:781:0,up:1556621240709:474-781:0,6007:Down:1556621241318:647:833:0,up:1556621241397:647-833:0",5
68,map,"1556621241408:4064,1556621249914:3259,1556621254282:826,1556621257167:1163",3,400ms,"-9:Down:1556621243377:92:157:0,up:1556621243454:92-157:0,up:1556621249325:100-85:0,up:1556621249901:100-85:0,-9:Down:1556621252584:787:251:0,up:1556621253102:657-452:0,3259:Down:1556621254038:651:309:0,up:1556621254470:641-493:0,826:Down:1556621255901:759:254:0,up:1556621256238:669-483:0,-9:Down:1556621256895:900:285:0,up:1556621257574:722-486:0,1163:Down:1556621258382:816:411:0,up:1556621258910:759-505:0,1163:Down:1556621260006:584:717:0,up:1556621260093:584-717:0,1163:Down:1556621260677:608:782:0,up:1556621260765:608-782:0,1163:Down:1556621261304:616:829:0,up:1556621261397:616-829:0",5
69,map,"1556621269728:6632,1556621277735:5471",2,1100ms,"-9:Down:1556621263673:97:153:0,up:1556621263789:97-153:0,up:1556621267149:134-192:0,up:1556621269709:102-87:0,up:1556621269933:102-87:0,-9:Down:1556621276199:708:320:0,up:1556621276790:555-498:0,-9:Down:1556621277423:574:333:0,up:1556621277910:621-491:0,-9:Down:1556621278383:723:413:0,up:1556621279199:592-614:0,-9:Down:1556621279773:712:490:0,up:1556621280286:688-489:0,-9:Down:1556621282086:592:721:0,up:1556621282197:592-719:0,5471:Down:1556621283886:539:780:0,up:1556621283973:540-780:0,5471:Down:1556621284542:645:831:0,up:1556621284605:645-831:0",5
70,map,1556621293208,1,2000ms,"-9:Down:1556621286198:106:160:0,up:1556621286293:106-160:0,up:1556621289380:141-189:0,up:1556621292581:98-84:0,up:1556621293197:98-84:0,-9:Down:1556621300501:650:717:0,up:1556621300613:650-717:0,-9:Down:1556621302616:472:782:0,up:1556621302701:470-782:0,-9:Down:1556621303078:630:830:0,up:1556621303165:630-830:0",5
71,map,"1556621303181:1189,1556621308088:1017,1556621310324:397,1556621312755:249,1556621314392:230,1556621316226:456",4,110ms,"1189:Down:1556621305151:102:166:0,up:1556621305237:102-166:0,1017:Down:1556621309688:701:304:0,up:1556621310622:631-468:0,up:1556621311541:99-82:0,up:1556621312021:99-82:0,-9:Down:1556621312518:422:470:0,up:1556621313062:519-110:0,249:Down:1556621314055:680:373:0,up:1556621314838:588-578:0,230:Down:1556621315198:715:349:0,up:1556621315565:612-521:0,230:Down:1556621316014:807:317:0,up:1556621316398:679-472:0,456:Down:1556621318045:586:719:0,up:1556621318125:586-719:0,456:Down:1556621318597:662:780:0,up:1556621318693:662-780:0,456:Down:1556621319053:669:829:0,up:1556621319149:669-829:0",5
72,map,"1556621326705:4850,1556621334072:1217,1556621337441:2779,1556621341207:4769",3,600ms,"-9:Down:1556621321495:97:163:0,up:1556621321565:97-163:0,up:1556621326413:99-87:0,up:1556621326700:99-87:0,4850:Down:1556621333790:849:251:0,up:1556621334285:684-492:0,-9:Down:1556621334646:678:260:0,up:1556621335029:702-472:0,1217:Down:1556621335710:791:357:0,up:1556621336062:698-566:0,-9:Down:1556621336750:885:316:0,up:1556621337742:601-521:0,-9:Down:1556621338078:667:294:0,up:1556621339125:602-352:0,up:1556621340551:99-119:0,up:1556621340957:99-119:0,-9:Down:1556621343589:585:717:0,up:1556621343708:585-717:0,4769:Down:1556621346878:606:781:0,up:1556621346965:606-781:0,4769:Down:1556621347358:648:825:0,up:1556621347437:648-825:0",5
73,map,"1556621351888:84,1556621365356",1,1500ms,"-9:Down:1556621348800:104:158:0,up:1556621348877:104-158:0,up:1556621351885:187-186:0,up:1556621354693:102-89:0,up:1556621355373:102-89:0,-9:Down:1556621361031:811:270:0,up:1556621361566:655-511:0,-9:Down:1556621362647:688:266:0,up:1556621363022:679-488:0,-9:Down:1556621365086:786:416:0,up:1556621365485:714-618:0,-9:Down:1556621370055:649:717:0,up:1556621370164:649-717:0,-9:Down:1556621371128:475:779:0,up:1556621371236:475-779:0,-9:Down:1556621371729:625:827:0,up:1556621371813:625-827:0",5
74,map,"1556621371823:164,1556621380019:175,1556621382001:88,1556621383152:92,1556621385198:12,1556621385765:12,1556621386505:73,1556621387110:35,1556621389889:37,1556621390139:35,1556621390256:19,1556621390506:93",5,1ms,"164:Down:1556621374040:103:149:0,up:1556621374117:103-149:0,up:1556621381997:106-84:0,up:1556621382189:106-84:0,up:1556621383149:105-83:0,92:Down:1556621384709:727:310:0,up:1556621385149:580-502:0,12:Down:1556621385445:554:326:0,up:1556621385766:531-624:0,12:Down:1556621386261:760:339:0,up:1556621386526:625-606:0,73:Down:1556621386846:972:383:0,up:1556621387797:774-653:0,up:1556621389884:94-111:0,up:1556621390252:94-111:0,93:Down:1556621392196:588:718:0,up:1556621392260:588-718:0,93:Down:1556621393165:740:782:0,up:1556621393236:740-782:0,93:Down:1556621393749:664:819:0,up:1556621393820:664-819:0",5
75,sat,1556621413140,1,850ms,"0:Down:1556621395647:96:160:0,up:1556621395749:96-160:0,up:1556621398988:172-191:0,up:1556621404252:103-83:0,up:1556621404980:102-83:0,-9:Down:1556621410446:721:320:0,up:1556621411045:557-545:0,-9:Down:1556621411727:570:442:0,up:1556621412077:507-636:0,-9:Down:1556621412845:564:332:0,up:1556621413229:582-456:0,-9:Down:1556621420220:653:721:0,up:1556621420308:653-721:0,-9:Down:1556621421420:472:780:0,up:1556621421532:472-780:0,-9:Down:1556621422108:644:828:0,up:1556621422172:644-828:0",5
76,sat,"1556621422185:572,1556621428331:593,1556621430568:1172,1556621433008:404,1556621434070:41,1556621435111:191,1556621437624:181,1556621437872:226,1556621439407:150,1556621439657:646",4,1ms,"572:Down:1556621423855:96:153:0,up:1556621423917:96-153:0,up:1556621430052:99-88:0,up:1556621430549:99-88:0,1172:Down:1556621432006:751:291:0,up:1556621432437:582-488:0,1172:Down:1556621432782:578:296:0,up:1556621433222:633-612:0,404:Down:1556621433797:774:392:0,up:1556621434069:662-582:0,41:Down:1556621434845:959:335:0,up:1556621435493:756-553:0,up:1556621437621:100-112:0,up:1556621437797:100-112:0,up:1556621439405:98-115:0,646:Down:1556621441365:581:714:0,up:1556621441444:581-714:0,646:Down:1556621442789:668:783:0,up:1556621442868:667-783:0,646:Down:1556621443325:652:818:0,up:1556621443388:652-818:0",5
77,sat,"1556621443659:1348,1556621448248:1342,1556621451816:1879,1556621453923:469,1556621455785:461,1556621457145:685,1556621461454:1332",3,110ms,"-9:Down:1556621444734:94:161:0,up:1556621444805:94-161:0,up:1556621447980:123-194:0,up:1556621451204:100-82:0,up:1556621451797:100-82:0,-9:Down:1556621453455:793:292:0,up:1556621454046:660-548:0,469:Down:1556621454509:774:347:0,up:1556621454902:811-528:0,469:Down:1556621455566:780:290:0,up:1556621455877:703-538:0,461:Down:1556621456885:908:351:0,up:1556621457478:641-557:0,up:1556621460821:103-122:0,up:1556621461196:102-121:0,-9:Down:1556621462502:582:721:0,up:1556621462581:582-721:0,1332:Down:1556621463485:606:780:0,up:1556621463548:606-780:0,1332:Down:1556621463925:645:832:0,up:1556621463996:645-832:0",5
78,sat,"1556621464261:4639,1556621488075:2824,1556621490914:1839,1556621497913",3,400ms,"-9:Down:1556621465375:103:155:0,up:1556621465445:103-155:0,up:1556621471933:176-183:0,up:1556621476933:94-89:0,up:1556621477413:94-89:0,-9:Down:1556621480079:780:319:0,up:1556621480582:651-614:0,-9:Down:1556621480968:560:399:0,up:1556621481390:596-594:0,-9:Down:1556621486813:814:300:0,up:1556621487190:491-508:0,-9:Down:1556621487766:696:349:0,up:1556621488309:583-500:0,-9:Down:1556621489438:734:310:0,up:1556621491149:628-447:0,up:1556621495277:92-109:0,up:1556621495509:92-109:0,up:1556621496596:111-115:0,-9:Down:1556621497661:592:444:0,up:1556621498047:638-399:0,-9:Down:1556621499006:586:720:0,up:1556621499084:586-720:0,-9:Down:1556621500053:608:782:0,up:1556621500180:608-782:0,-9:Down:1556621500789:645:826:0,up:1556621500861:646-826:0",5
79,sat,"1556621510161:9659,1556621527282:4828,1556621533700",2,600ms,"-9:Down:1556621503941:101:157:0,up:1556621504020:101-157:0,up:1556621506733:133-185:0,up:1556621509861:96-82:0,up:1556621510157:96-82:0,9659:Down:1556621523344:775:276:0,up:1556621523733:662-518:0,-9:Down:1556621524143:578:271:0,up:1556621524902:587-527:0,-9:Down:1556621525327:753:453:0,up:1556621525886:717-598:0,-9:Down:1556621527007:895:327:0,up:1556621527405:685-480:0,-9:Down:1556621529822:929:274:0,up:1556621530254:852-303:0,up:1556621533084:98-120:0,up:1556621533445:98-120:0,-9:Down:1556621534007:469:392:0,up:1556621534342:476-330:0,-9:Down:1556621535540:578:716:0,up:1556621535636:578-716:0,-9:Down:1556621536533:586:722:0,up:1556621536637:586-722:0,-9:Down:1556621537565:539:778:0,up:1556621537653:539-778:0,-9:Down:1556621538214:647:828:0,up:1556621538317:647-828:0",5
80,sat,1556621546945,1,2000ms,"-9:Down:1556621539784:105:166:0,up:1556621539837:105-166:0,up:1556621546549:101-82:0,up:1556621546941:101-82:0,-9:Down:1556621548735:650:715:0,up:1556621548837:650-715:0,-9:Down:1556621549686:472:781:0,up:1556621549773:473-782:0,-9:Down:1556621550703:642:823:0,up:1556621550797:642-823:0",5
81,sat,"1556621550808:2465,1556621555733:2438,1556621564774:1221,1556621569998:1940",4,200ms,"-9:Down:1556621552381:100:174:0,up:1556621552469:100-174:0,up:1556621555477:127-189:0,up:1556621559165:88-77:0,up:1556621559541:94-78:0,-9:Down:1556621561159:818:277:0,up:1556621561638:689-520:0,-9:Down:1556621561968:597:346:0,up:1556621562286:566-538:0,-9:Down:1556621563167:728:344:0,up:1556621563582:626-543:0,-9:Down:1556621564494:816:372:0,up:1556621564776:552-646:0,1221:Down:1556621566102:725:370:0,up:1556621566790:713-403:0,up:1556621567653:90-119:0,up:1556621567902:90-119:0,up:1556621569061:109-126:0,-9:Down:1556621569694:574:432:0,up:1556621570054:588-381:0,-9:Down:1556621571181:583:715:0,up:1556621571278:583-715:0,1940:Down:1556621572701:610:783:0,up:1556621572805:610-783:0,1940:Down:1556621573847:667:782:0,up:1556621573949:667-782:0,1940:Down:1556621574437:646:823:0,up:1556621574517:646-823:0",5
82,sat,1556621596437,2,1100ms,"-9:Down:1556621576853:93:166:0,up:1556621576933:93-166:0,up:1556621580405:173-194:0,up:1556621582350:101-84:0,up:1556621582661:101-84:0,-9:Down:1556621595135:756:302:0,up:1556621595597:630-569:0,-9:Down:1556621596072:694:267:0,up:1556621596439:683-457:0,-9:Down:1556621598087:773:372:0,up:1556621598454:703-537:0,-9:Down:1556621603646:648:721:0,up:1556621603757:648-721:0,-9:Down:1556621604717:536:780:0,up:1556621604790:536-780:0,-9:Down:1556621605271:646:824:0,up:1556621605325:646-824:0",5
83,sat,1556621612009,1,1500ms,"-9:Down:1556621606809:95:158:0,up:1556621606885:95-158:0,up:1556621610069:140-186:0,up:1556621611645:95-82:0,up:1556621612006:95-82:0,-9:Down:1556621619117:650:717:0,up:1556621619389:650-718:0,-9:Down:1556621620485:538:782:0,up:1556621620573:538-782:0,-9:Down:1556621621264:470:784:0,up:1556621621357:470-784:0,-9:Down:1556621621934:641:830:0,up:1556621621981:641-830:0",5
84,map,"1556622194150:13829,1556622213445",2,1800ms,"0:Down:1556622156193:97:162:0,up:1556622156356:97-162:0,up:1556622179067:90-89:0,up:1556622183052:90-89:0,-9:Down:1556622190048:715:269:0,up:1556622190997:597-674:0,-9:Down:1556622191471:736:472:0,up:1556622192125:503-721:0,-9:Down:1556622193758:631:389:0,up:1556622194517:563-516:0,up:1556622211844:104-117:0,up:1556622213188:104-116:0,-9:Down:1556622222461:586:717:0,up:1556622222652:586-717:0,-9:Down:1556622227701:536:786:0,up:1556622227884:536-786:0,-9:Down:1556622231214:635:831:0,up:1556622231404:635-831:0",6
85,map,"1556622231672:6969,1556622241481:5427,1556622254334:3974,1556622264194:4600",2,600ms,"-9:Down:1556622237007:106:158:0,up:1556622237132:106-158:0,up:1556622247668:86-83:0,up:1556622248564:86-83:0,-9:Down:1556622251486:791:320:0,up:1556622252236:509-654:0,-9:Down:1556622252838:775:389:0,up:1556622253365:462-659:0,-9:Down:1556622254044:562:359:0,up:1556622254540:475-578:0,up:1556622263268:93-122:0,up:1556622263939:93-122:0,-9:Down:1556622267780:580:721:0,up:1556622267963:580-721:0,4600:Down:1556622269421:539:783:0,up:1556622269579:539-783:0,4600:Down:1556622270646:676:831:0,up:1556622270787:676-831:0",6
86,map,"1556622271068:3760,1556622278317:3690,1556622288362:1413,1556622293008:3,1556622293263:1767",3,400ms,"-9:Down:1556622273773:92:166:0,up:1556622273892:92-166:0,up:1556622282380:91-80:0,up:1556622283316:91-80:0,-9:Down:1556622285806:874:276:0,up:1556622286389:635-529:0,-9:Down:1556622286869:839:329:0,up:1556622287390:579-567:0,-9:Down:1556622287909:735:296:0,up:1556622288389:631-526:0,1413:Down:1556622289869:705:343:0,up:1556622290676:674-462:0,up:1556622292195:91-113:0,up:1556622293004:91-113:0,-9:Down:1556622293908:450:456:0,up:1556622294468:477-309:0,1767:Down:1556622299829:588:721:0,up:1556622299995:588-721:0,1767:Down:1556622303564:607:783:0,up:1556622303683:607-783:0,1767:Down:1556622304412:637:835:0,up:1556622304572:637-835:0",6
87,map,"1556622315863:12765,1556622350979:11777",1,1500ms,"-9:Down:1556622310328:97:170:0,up:1556622310467:97-170:0,up:1556622328907:105-82:0,up:1556622329587:105-82:0,-9:Down:1556622334117:803:221:0,up:1556622335156:429-558:0,-9:Down:1556622335726:631:289:0,up:1556622336382:468-667:0,-9:Down:1556622339941:614:361:0,up:1556622340796:535-518:0,up:1556622349164:103-129:0,up:1556622350723:106-108:0,-9:Down:1556622360791:584:719:0,up:1556622360979:584-719:0,-9:Down:1556622361924:470:777:0,up:1556622362059:470-777:0,11777:Down:1556622363028:671:826:0,up:1556622363211:671-826:0",6
88,map,"1556622363227:155,1556622363478:160,1556622372118:5,1556622374135:85,1556622376896:92,1556622378771:38,1556622380336:13,1556622380537:22,1556622381630:26,1556622385239:10,1556622385493:31,1556622385886:25,1556622386151:117,1556622386526:105,1556622386773:25",4,1ms,"160:Down:1556622367046:96:164:0,up:1556622367203:96-164:0,up:1556622374131:99-77:0,up:1556622376891:99-77:0,92:Down:1556622378452:842:220:0,up:1556622378957:446-492:0,38:Down:1556622379981:812:337:0,up:1556622380844:608-613:0,22:Down:1556622381348:677:315:0,up:1556622382084:590-583:0,up:1556622385235:106-122:0,up:1556622385883:106-122:0,up:1556622386523:106-122:0,25:Down:1556622391357:584:719:0,up:1556622391516:584-719:0,25:Down:1556622392556:672:781:0,up:1556622392692:672-781:0,25:Down:1556622393692:656:830:0,up:1556622393835:656-830:0",6
89,map,"1556622394097:1103,1556622400319:1021,1556622403369:930,1556622405191:471,1556622406161:453,1556622407322:237,1556622409431:236,1556622410459:894",4,110ms,"1103:Down:1556622395944:107:169:0,up:1556622396100:107-169:0,up:1556622402795:103-86:0,up:1556622403363:103-86:0,930:Down:1556622404909:1046:290:0,up:1556622405436:638-600:0,471:Down:1556622405908:774:234:0,up:1556622406580:498-591:0,453:Down:1556622407060:646:337:0,up:1556622407605:594-544:0,up:1556622409427:104-119:0,up:1556622410204:105-112:0,894:Down:1556622412483:585:717:0,up:1556622412619:585-717:0,894:Down:1556622413580:670:780:0,up:1556622413747:670-780:0,894:Down:1556622414429:660:834:0,up:1556622414595:660-834:0",6
90,map,"1556622470961:3,1556622471215",1,2000ms,"-9:Down:1556622425216:105:145:0,up:1556622425363:105-145:0,-9:Down:1556622425981:105:168:0,up:1556622426124:105-168:0,up:1556622446348:100-76:0,up:1556622447556:100-76:0,-9:Down:1556622453120:995:232:0,up:1556622453565:627-846:0,-9:Down:1556622454292:855:354:0,up:1556622454901:747-544:0,up:1556622469532:106-117:0,up:1556622470957:100-116:0,-9:Down:1556622473045:652:722:0,up:1556622473212:652-722:0,-9:Down:1556622474269:473:784:0,up:1556622474412:473-784:0,-9:Down:1556622476797:653:833:0,up:1556622477004:653-833:0",6
91,map,"1556622485843:8846,1556622500552:8922,1556622518330:3161,1556622529855:3,1556622530105:3640,1556622536508",2,1100ms,"-9:Down:1556622481086:100:155:0,up:1556622481268:100-155:0,up:1556622494883:94-80:0,up:1556622500548:94-80:0,8922:Down:1556622512318:811:301:0,up:1556622512788:383-726:0,-9:Down:1556622513598:666:384:0,up:1556622514068:505-598:0,-9:Down:1556622518021:687:298:0,up:1556622519020:580-598:0,up:1556622529315:90-118:0,up:1556622529851:90-118:0,up:1556622536259:103-112:0,-9:Down:1556622538180:586:721:0,up:1556622538324:586-721:0,-9:Down:1556622539286:535:779:0,up:1556622539451:536-780:0,-9:Down:1556622540779:627:826:0,up:1556622540955:627-826:0",6
