,typ,iLTs,ACR,net_delay,mouse_clicks,subject
10,sat,"1555083310376:7261,1555083319196:7233,1555083338370:7502,1555083348031:6,1555083349164",2,600ms,"-9:Down:1555083315084:111:171:0,up:1555083315178:111-171:0,up:1555083318938:153-186:0,up:1555083326490:100-85:0,up:1555083326698:100-85:0,up:1555083326891:100-85:0,up:1555083327091:100-85:0,up:1555083327282:100-85:0,up:1555083327522:100-85:0,-9:Down:1555083330213:788:268:0,up:1555083330931:576-518:0,-9:Down:1555083331723:796:288:0,up:1555083333187:598-437:0,-9:Down:1555083334325:758:287:0,up:1555083334979:600-423:0,-9:Down:1555083335949:794:282:0,up:1555083339372:797-534:0,-9:Down:1555083339789:684:312:0,up:1555083340299:728-373:0,7502:Down:1555083346426:108:133:0,up:1555083346506:108-133:0,7502:Down:1555083346588:108:133:0,up:1555083346690:108-133:0,up:1555083347186:104-127:0,up:1555083347387:104-127:0,up:1555083348026:104-127:0,up:1555083348907:104-127:0,-9:Down:1555083353235:536:786:0,up:1555083353346:536-786:0,-9:Down:1555083353779:588:723:0,up:1555083353899:588-723:0,-9:Down:1555083354412:627:845:0,up:1555083354483:627-845:0,-9:Down:1555083354732:624:827:0,up:1555083354819:624-827:0",1
11,sat,"1555083355091:1374,1555083361348:1342,1555083366920:1872,1555083368827:477,1555083370546:599,1555083371629:345,1555083376855:4,1555083377097:677",4,110ms,"1374:Down:1555083357479:111:174:0,up:1555083357555:111-174:0,up:1555083361099:176-183:0,up:1555083366523:96-89:0,up:1555083366731:96-89:0,up:1555083366915:96-89:0,up:1555083367099:96-89:0,up:1555083367291:96-89:0,up:1555083367507:96-89:0,-9:Down:1555083368603:804:247:0,up:1555083368988:668-479:0,477:Down:1555083369517:795:292:0,up:1555083369956:627-519:0,-9:Down:1555083370307:766:293:0,up:1555083371020:626-573:0,599:Down:1555083371397:696:409:0,up:1555083371836:628-553:0,345:Down:1555083372443:703:433:0,up:1555083372740:691-490:0,345:Down:1555083374308:669:783:0,up:1555083374427:669-783:0,up:1555083376091:101-129:0,up:1555083376299:101-129:0,up:1555083376851:101-129:0,677:Down:1555083380371:585:725:0,up:1555083380491:585-725:0,677:Down:1555083381323:617:824:0,up:1555083381435:617-824:0",1
12,sat,1555083403492,1,1500ms,"-9:Down:1555083388264:101:162:0,up:1555083388395:101-162:0,up:1555083392219:173-187:0,up:1555083403147:101-90:0,up:1555083403323:101-90:0,up:1555083403483:101-90:0,up:1555083403644:101-90:0,up:1555083403827:101-90:0,up:1555083404004:101-90:0,up:1555083404179:101-90:0,-9:Down:1555083409125:655:720:0,up:1555083409203:655-720:0,-9:Down:1555083410163:476:776:0,up:1555083410283:476-776:0,-9:Down:1555083410996:642:824:0,up:1555083411099:642-825:0",1
13,sat,"1555083411122:495,1555083418686:600,1555083422066:1216,1555083423819:162,1555083425035:251,1555083425964:18,1555083432191:81,1555083432445:177,1555083433182:152,1555083433431:221",4,1ms,"495:Down:1555083414636:90:168:0,up:1555083414708:90-168:0,up:1555083418435:195-197:0,up:1555083421699:102-91:0,up:1555083421876:102-91:0,up:1555083422051:102-91:0,up:1555083422220:102-91:0,up:1555083422403:102-91:0,up:1555083422579:102-91:0,up:1555083422796:102-91:0,1216:Down:1555083423396:874:299:0,up:1555083424076:658-681:0,162:Down:1555083424580:862:403:0,up:1555083425140:620-736:0,251:Down:1555083425716:744:470:0,up:1555083426164:576-710:0,18:Down:1555083428660:666:777:0,up:1555083428779:666-777:0,18:Down:1555083430495:586:729:0,up:1555083430587:586-729:0,up:1555083432187:89-116:0,up:1555083432404:89-116:0,up:1555083433179:89-116:0,221:Down:1555083434595:589:719:0,up:1555083434699:589-719:0,221:Down:1555083435340:631:838:0,up:1555083435459:631-838:0",1
14,sat,"1555083435741:4613,1555083443580:4849,1555083460898:2434,1555083467331:4247",2,400ms,"-9:Down:1555083440060:102:173:0,up:1555083440147:102-173:0,up:1555083443323:150-190:0,up:1555083450595:108-94:0,up:1555083450804:108-94:0,up:1555083450979:108-94:0,up:1555083451164:108-94:0,up:1555083451347:108-94:0,up:1555083451531:108-94:0,-9:Down:1555083454614:958:224:0,up:1555083455365:753-527:0,-9:Down:1555083455990:856:277:0,up:1555083456412:719-482:0,-9:Down:1555083459252:861:360:0,up:1555083460116:738-528:0,-9:Down:1555083460686:801:377:0,up:1555083461292:738-560:0,2434:Down:1555083465060:107:133:0,up:1555083465139:107-133:0,2434:Down:1555083465228:107:133:0,up:1555083465323:107-133:0,2434:Down:1555083465421:107:133:0,up:1555083465507:107-133:0,-9:Down:1555083465613:107:133:0,up:1555083465723:107-133:0,up:1555083466451:95-122:0,up:1555083466628:95-122:0,up:1555083467085:95-122:0,-9:Down:1555083469332:588:717:0,up:1555083469460:588-717:0,-9:Down:1555083470949:543:783:0,up:1555083471075:543-783:0,4247:Down:1555083471812:630:818:0,up:1555083471915:630-818:0",1
15,sat,1555083499706,1,850ms,"-9:Down:1555083476055:108:178:0,up:1555083476187:108-178:0,-9:Down:1555083476710:102:158:0,up:1555083476795:102-158:0,up:1555083480707:133-183:0,up:1555083490387:97-89:0,up:1555083490572:97-89:0,up:1555083490755:97-89:0,up:1555083490948:97-89:0,up:1555083491131:97-89:0,up:1555083491323:97-89:0,up:1555083491515:97-89:0,-9:Down:1555083494806:935:273:0,up:1555083495252:790-593:0,-9:Down:1555083495598:964:276:0,up:1555083496156:716-520:0,-9:Down:1555083498293:886:359:0,up:1555083498748:677-592:0,-9:Down:1555083499084:798:369:0,up:1555083499796:938-564:0,-9:Down:1555083504203:649:717:0,up:1555083504323:649-717:0,-9:Down:1555083505540:478:784:0,up:1555083505659:458-782:0,-9:Down:1555083506076:464:781:0,up:1555083506195:467-780:0,-9:Down:1555083506421:469:780:0,up:1555083506531:470-780:0,-9:Down:1555083507388:607:825:0,up:1555083507507:609-825:0",1
16,map,"1555080786209:170,1555080797260:152,1555080807976:89,1555080808344:110,1555080811710:56,1555080814159:3,1555080814409:29,1555080814775:47,1555080815031:152,1555080817247:16,1555080818784:95,1555080819439:77,1555080820095:31,1555080820956:46,1555080823744:32,1555080823993:44,1555080824711:27,1555080824960:118,1555080825869:15",4,1ms,"170:Down:1555080792410:98:164:0,up:1555080792492:98-164:0,up:1555080797003:142-185:0,up:1555080807971:112-73:0,up:1555080808147:112-73:0,up:1555080808339:112-73:0,up:1555080808747:112-73:0,up:1555080809187:112-73:0,110:Down:1555080810365:840:370:0,up:1555080811028:644-206:0,110:Down:1555080811421:685:228:0,up:1555080811773:631-272:0,up:1555080814155:99-127:0,up:1555080814771:99-127:0,152:Down:1555080816333:729:227:0,up:1555080817436:542-610:0,up:1555080818779:98-87:0,up:1555080818947:98-87:0,up:1555080819435:98-87:0,77:Down:1555080819844:300:393:0,up:1555080820380:712-139:0,31:Down:1555080820708:688:286:0,up:1555080820959:678-53:0,46:Down:1555080821820:714:217:0,up:1555080822261:723-188:0,up:1555080823740:92-112:0,up:1555080824708:92-112:0,118:Down:1555080825620:520:364:0,up:1555080826892:606-261:0,15:Down:1555080838980:667:777:0,up:1555080839035:667-777:0,15:Down:1555080841140:624:834:0,up:1555080841235:624-834:0",2
17,map,"1555080841528:8588,1555080864128:7672,1555080877617:6518,1555080890977:5982,1555080899294",3,850ms,"8588:Down:1555080860855:91:154:0,up:1555080860924:91-154:0,up:1555080863867:157-193:0,7672:Down:1555080874087:763:201:0,up:1555080875740:769-201:0,up:1555080877235:112-92:0,up:1555080877612:112-92:0,up:1555080878028:112-92:0,6518:Down:1555080887973:917:430:0,up:1555080888476:511-571:0,-9:Down:1555080888748:718:251:0,up:1555080889000:699-664:0,-9:Down:1555080889445:759:434:0,up:1555080889756:667-589:0,-9:Down:1555080890060:715:419:0,up:1555080890380:607-607:0,-9:Down:1555080890701:642:450:0,up:1555080891036:576-564:0,-9:Down:1555080892148:528:453:0,up:1555080892805:563-466:0,up:1555080897843:108-125:0,up:1555080898220:108-125:0,-9:Down:1555080899029:518:427:0,up:1555080899349:530-345:0,-9:Down:1555080901188:587:713:0,up:1555080901251:587-713:0,-9:Down:1555080901836:586:718:0,up:1555080901899:586-718:0,-9:Down:1555080902732:609:784:0,up:1555080902803:609-784:0,-9:Down:1555080904164:630:829:0,up:1555080904259:630-829:0",2
18,map,"1555080910613:9212,1555080925009:9792,1555080939041:6,1555080948242",3,1100ms,"-9:Down:1555080905637:100:171:0,up:1555080905692:100-171:0,up:1555080910355:144-186:0,-9:Down:1555080919807:571:284:0,up:1555080920252:494-355:0,up:1555080921515:96-89:0,up:1555080921684:96-89:0,up:1555080921883:96-89:0,up:1555080922092:96-89:0,-9:Down:1555080922372:463:542:0,up:1555080922844:442-141:0,-9:Down:1555080923516:455:225:0,up:1555080923788:546-205:0,-9:Down:1555080924796:692:320:0,up:1555080925076:568-186:0,-9:Down:1555080932348:589:250:0,up:1555080932637:623-339:0,-9:Down:1555080934676:486:222:0,up:1555080934940:538-345:0,up:1555080938283:97-130:0,up:1555080939035:100-130:0,-9:Down:1555080939652:668:258:0,up:1555080941116:479-430:0,up:1555080945459:108-94:0,up:1555080945620:108-94:0,up:1555080945811:108-94:0,-9:Down:1555080946149:319:412:0,up:1555080946653:1010--71:0,-9:Down:1555080946956:943:80:0,up:1555080947244:548-542:0,-9:Down:1555080947525:615:284:0,up:1555080947776:627-625:0,-9:Down:1555080948029:610:360:0,up:1555080948284:690-526:0,-9:Down:1555080948996:582:717:0,up:1555080949067:582-718:0,-9:Down:1555080949819:611:786:0,up:1555080949883:611-786:0,-9:Down:1555080950452:626:823:0,up:1555080950508:626-823:0",2
19,map,1555080986041:3040,2,1500ms,"-9:Down:1555080955596:104:164:0,up:1555080955668:104-164:0,up:1555080960187:177-181:0,up:1555080964235:95-91:0,up:1555080964459:95-91:0,up:1555080964851:95-91:0,up:1555080965084:95-91:0,up:1555080965283:95-91:0,-9:Down:1555080968516:771:315:0,up:1555080969068:622-296:0,-9:Down:1555080970380:795:245:0,up:1555080970756:486-449:0,-9:Down:1555080971060:595:217:0,up:1555080971348:386-553:0,-9:Down:1555080971644:428:324:0,up:1555080971900:481-553:0,-9:Down:1555080972307:637:337:0,up:1555080972564:529-511:0,-9:Down:1555080973461:470:447:0,up:1555080974069:552-304:0,-9:Down:1555080976372:569:384:0,up:1555080977053:696-32:0,-9:Down:1555080977452:579:264:0,up:1555080977692:702--54:0,-9:Down:1555080977989:507:132:0,up:1555080978260:459-393:0,-9:Down:1555080978533:572:268:0,up:1555080979060:406-763:0,-9:Down:1555080979484:509:502:0,up:1555080979668:658-179:0,-9:Down:1555080980019:426:325:0,up:1555080980188:597-109:0,-9:Down:1555080980477:591:258:0,up:1555080980636:405--50:0,-9:Down:1555080981164:526:216:0,up:1555080981700:618-713:0,-9:Down:1555080982020:724:409:0,up:1555080983452:521-786:0,-9:Down:1555080983995:496:519:0,up:1555080984700:548-341:0,-9:Down:1555080985094:475:423:0,up:1555080985260:647-169:0,-9:Down:1555080985804:592:316:0,up:1555080986020:533-63:0,-9:Down:1555080986364:544:245:0,up:1555080986636:610-110:0,-9:Down:1555080987972:583:724:0,up:1555080988043:583-724:0,3040:Down:1555080990084:536:782:0,up:1555080990131:536-782:0,3040:Down:1555080991165:623:822:0,up:1555080991203:623-822:0",2
