id,type,iLTs,miLT,ACR,latency,no_click,TCiL,subject
374,sat,,,2,600ms,22,0,13
375,sat,,,1,2000ms,24,0,13
376,sat,,,3,400ms,19,1,13
377,sat,,,1,850ms,22,0,13
378,sat,,,1,1500ms,23,0,13
379,sat,,,5,2000ms,4,3,14
380,map,,,4,2000ms,7,0,15
381,map,,,4,1100ms,9,0,15
382,sat,,,1,1500ms,8,1,15
383,sat,,,1,2000ms,11,0,15
384,sat,,,2,850ms,10,0,15
385,sat,,,3,400ms,9,0,15
386,sat,,,1,1100ms,14,0,15
387,map,,,1,2000ms,8,1,16
388,map,,,1,1100ms,15,0,16
389,map,,,2,850ms,16,0,16
390,map,,,1,1500ms,20,0,16
391,sat,,,1,1500ms,23,1,16
392,sat,,,2,1100ms,23,0,16
393,sat,,,1,2000ms,20,0,16
394,sat,,,1,850ms,23,0,16
395,map,,,3,850ms,8,0,17
396,map,,,2,1500ms,8,0,17
397,sat,,,2,1100ms,9,0,17
398,sat,,,1,2000ms,20,0,17
399,sat,,,2,1500ms,15,0,17
400,sat,,,3,850ms,9,0,17
401,map,,,1,2000ms,8,0,18
402,map,,,1,1500ms,8,0,18
403,map,,,1,850ms,6,0,18
404,sat,,,1,2000ms,8,0,18
405,sat,,,1,1500ms,8,0,18
406,map,,,3,2000ms,8,0,19
407,sat,,,3,850ms,12,0,19
408,sat,,,1,1500ms,18,0,19
409,sat,,,1,2000ms,13,0,19
410,sat,,,1,1100ms,11,0,19
411,map,,,4,1500ms,7,0,20
412,map,,,4,1800ms,8,0,20
413,map,,,4,2000ms,8,0,20
414,map,,,4,1100ms,8,0,20
415,sat,,,3,600ms,7,0,20
416,sat,,,3,1500ms,9,0,20
417,sat,,,3,850ms,8,0,20
418,sat,,,1,2000ms,9,0,20
419,sat,,,1,1100ms,8,0,20
420,map,,,4,2000ms,8,1,21
421,map,,,4,1500ms,10,3,21
422,sat,,,2,1100ms,9,1,21
423,sat,,,2,2000ms,9,0,21
424,sat,,,2,850ms,11,0,21
425,sat,,,3,600ms,7,0,21
426,sat,,,1,1500ms,15,0,21
427,map,,,3,1800ms,14,0,22
428,map,,,2,2000ms,13,0,22
429,map,,,3,1500ms,24,0,22
430,sat,,,1,2000ms,28,0,22
431,sat,,,1,1500ms,24,0,22
432,sat,,,4,400ms,15,4,22
433,sat,,,1,1100ms,17,0,22
434,sat,,,3,850ms,15,0,22
435,map,,,4,1100ms,8,0,23
436,map,,,4,2000ms,8,0,23
437,map,,,5,1500ms,9,0,23
438,sat,,,3,1500ms,10,1,23
439,sat,,,4,2000ms,8,0,23
440,sat,,,4,400ms,7,2,23
441,sat,,,4,1100ms,8,0,23
442,sat,,,4,850ms,7,0,23
443,map,,,4,1500ms,6,0,24
444,map,,,4,2000ms,10,0,24
445,map,,,5,850ms,10,0,24
446,sat,,,3,2000ms,10,1,24
447,sat,,,4,1500ms,7,0,24
448,sat,,,3,1100ms,7,0,24
449,sat,,,4,600ms,4,0,24
450,sat,,,5,850ms,4,0,24
451,map,,,4,1500ms,12,1,25
452,map,,,1,1800ms,13,1,25
453,map,,,2,850ms,11,0,25
454,sat,,,1,2000ms,19,1,25
455,sat,,,2,400ms,11,3,25
456,sat,,,1,850ms,11,0,25
457,sat,,,1,1100ms,17,0,25
458,sat,,,1,1500ms,14,0,25
459,map,,,4,1800ms,7,0,26
460,map,,,4,1500ms,13,1,26
461,sat,,,4,850ms,19,3,26
462,sat,,,4,2000ms,8,0,26
463,sat,,,5,1100ms,8,1,26
464,sat,,,4,1500ms,8,1,26
465,map,,,1,1800ms,15,0,27
466,map,,,3,1100ms,20,0,27
467,map,,,2,2000ms,19,0,27
468,map,,,2,1500ms,12,0,27
469,sat,,,1,2000ms,17,0,27
470,sat,,,1,850ms,13,0,27
471,sat,,,1,1100ms,19,0,27
472,sat,,,1,1500ms,23,0,27
473,map,,,4,850ms,31,17,28
474,sat,,,2,1500ms,12,2,28
475,sat,,,2,2000ms,17,0,28
476,sat,,,3,400ms,19,5,28
477,sat,,,3,850ms,14,0,28
478,sat,,,3,600ms,18,3,28
