id,type,iLTs,miLT,ACR,latency,no_click,TCiL,subject
47,sat,"[625, 299]",462.0,5,1ms,4,4,24
48,map,"[1133, 916, 924, 232, 263, 261, 226, 342, 480, 253, 231, 572, 580, 228]",474.0,3,110ms,12,12,9
49,sat,"[475, 594, 647, 1056, 166, 166, 259]",480.0,5,1ms,13,10,25
50,sat,"[494, 597, 647, 1087, 178, 236, 175]",487.0,5,1ms,7,7,17
51,sat,"[483, 593, 1208, 473, 166, 178, 310]",487.0,4,1ms,7,7,12
52,sat,"[476, 602, 1189, 303, 149, 224]",490.0,4,1ms,7,7,19
53,sat,"[558, 648, 783, 1122, 257, 436, 204, 177, 455, 149, 655]",494.0,3,1ms,7,7,20
54,sat,"[714, 597, 646, 1039, 357, 249, 114]",530.0,3,1ms,7,7,6
55,sat,"[760, 595, 1213, 324, 203, 179, 552]",546.0,3,1ms,7,7,23
56,map,"[1023, 1007, 799, 923, 460, 459, 252, 231, 243, 697, 229]",574.0,4,110ms,11,7,10
57,map,"[1128, 919, 798, 925, 231, 251, 256, 228, 461]",577.0,4,110ms,14,14,16
58,map,"[1159, 1023, 954, 237, 338, 235, 465, 250, 565]",580.0,1,110ms,9,9,1
59,map,"[1139, 1014, 791, 928, 257, 240, 468, 231, 575, 225]",586.0,5,110ms,13,12,28
60,map,"[1189, 1017, 397, 249, 230, 456]",589.0,4,110ms,9,8,5
61,map,"[1122, 1007, 935, 233, 455, 476, 225, 234, 672]",595.0,4,110ms,10,10,22
62,map,"[1128, 685, 461, 233, 472]",595.0,3,110ms,7,6,18
63,map,"[1093, 719, 349, 235]",599.0,5,110ms,5,5,26
64,map,"[1105, 640, 462, 243]",612.0,4,110ms,7,6,8
65,map,"[1138, 1080, 938, 234, 235, 244, 300, 865, 659]",632.0,3,110ms,16,12,2
66,map,"[1126, 1031, 788, 921, 256, 252, 232, 465]",633.0,4,110ms,8,8,17
67,sat,"[848, 597, 1206, 163, 512]",665.0,5,1ms,7,6,15
68,map,"[1160, 925, 677, 797, 919, 457, 491, 247, 343, 659]",667.0,4,110ms,12,12,27
69,map,"[1103, 1021, 930, 471, 453, 237, 236, 894]",668.0,4,110ms,7,7,6
70,map,"[1131, 972, 938, 230, 564, 281, 229, 1045]",673.0,4,110ms,7,7,20
71,map,"[1228, 927, 798, 918, 474, 234, 236, 243, 1101]",684.0,4,110ms,18,11,13
72,map,"[1133, 1008, 935, 248, 355, 450]",688.0,3,110ms,9,9,25
73,map,"[1180, 1026, 937, 474, 460, 233, 565]",696.0,5,110ms,7,7,24
74,map,"[1669, 903, 1062, 1015, 804, 931, 350, 230, 249, 229, 567, 572, 692]",713.0,4,110ms,8,8,14
75,map,"[2018, 610, 270, 460, 229]",717.0,4,110ms,10,10,19
76,map,"[1136, 952, 798, 457, 344]",737.0,5,110ms,6,6,3
77,map,"[1140, 1029, 1037, 947, 242, 282]",779.0,4,110ms,7,7,4
78,map,"[1145, 917, 961, 461, 683, 565, 766]",785.0,4,110ms,7,5,12
79,map,"[2196, 1010, 925, 339, 252, 484, 455]",808.0,4,110ms,10,8,23
80,map,"[1454, 1011, 939, 501, 232]",827.0,5,110ms,6,6,21
81,map,"[1097, 1023, 948, 457, 689]",842.0,5,110ms,6,6,15
82,sat,"[1383, 1420, 1386, 485, 460, 496, 344, 457, 1222]",850.0,4,110ms,10,10,26
83,sat,"[1386, 1349, 1783, 476, 466, 468, 507, 1235, 456]",902.0,4,110ms,7,6,9
84,map,"[1133, 686]",909.0,4,110ms,4,4,7
85,sat,"[1558, 1369, 1359, 1850, 450, 485, 783, 567, 785, 679, 347]",930.0,4,110ms,13,11,22
86,sat,"[1391, 1237, 1243, 700, 922, 481, 463, 1025]",932.0,3,110ms,8,8,20
87,sat,"[1374, 1342, 1872, 477, 599, 345, 677]",955.0,4,110ms,9,7,1
88,sat,"[1360, 1930, 1347, 486, 459, 784, 493]",979.0,4,110ms,13,10,7
89,sat,"[1358, 1345, 479, 737]",979.0,5,110ms,8,5,17
90,sat,"[1297, 1358, 1867, 686, 785, 544, 487]",1003.0,2,110ms,14,6,2
91,sat,"[1353, 1348, 1832, 463, 895, 452]",1057.0,3,110ms,11,9,8
92,sat,"[1348, 1342, 1879, 469, 461, 685, 1332]",1073.0,3,110ms,8,5,5
93,sat,"[1369, 1358, 1865, 689, 786, 454]",1086.0,4,110ms,9,9,21
94,sat,"[1359, 1328, 1237, 1056, 455]",1087.0,4,110ms,6,5,18
95,sat,"[1370, 1340, 1801, 466, 472]",1089.0,4,110ms,11,8,25
96,sat,"[1362, 1344, 1847, 472, 806, 788]",1103.0,4,110ms,9,8,19
97,sat,"[1329, 1358, 1839, 482, 478, 692, 1552]",1104.0,4,110ms,13,8,11
98,sat,"[1357, 1345, 1835, 471, 933, 472, 1321]",1104.0,4,110ms,8,7,6
99,sat,"[1360, 1387, 1854, 460, 1035, 344, 1037, 1556]",1129.0,4,110ms,7,5,4
100,sat,"[1380, 1363, 1374, 1948, 458, 513, 474, 1535]",1130.0,4,110ms,8,8,3
101,sat,"[1371, 1353, 1824, 949, 790, 461, 1378]",1160.0,4,110ms,15,9,16
102,sat,"[1363, 1441, 1419, 1854, 898, 456, 463, 1128, 1389, 1259]",1167.0,5,110ms,18,15,28
103,sat,"[1277, 1252, 1249, 1236, 1007, 1014, 1199, 1129]",1170.0,4,110ms,6,6,14
104,sat,"[1364, 1352, 1353, 1832, 487, 496, 937, 1613]",1179.0,4,110ms,10,7,10
105,sat,"[1359, 1844, 477, 1321]",1250.0,4,110ms,7,6,12
106,sat,"[1371, 1810, 461, 1064, 1551]",1251.0,4,110ms,8,7,23
107,sat,"[1355, 1375, 1358, 1805, 1147, 465, 1334]",1262.0,4,110ms,13,10,27
108,sat,"[1362, 1361]",1361.0,4,110ms,4,4,24
109,sat,"[1365, 1362, 1366, 1850, 935]",1375.0,5,110ms,25,14,13
110,sat,"[1353, 1363, 1872, 1175]",1440.0,4,110ms,8,6,15
111,map,"[4087, 1851, 2330, 826, 811, 813, 810, 830, 807]",1462.0,4,400ms,14,11,26
112,sat,"[2428, 1456, 828]",1570.0,4,200ms,9,5,23
113,sat,"[2440, 2440, 1086, 808]",1693.0,4,200ms,9,7,21
114,map,"[2434, 952]",1693.0,3,400ms,7,4,18
115,sat,"[2052, 2511, 1224, 3259, 612, 816]",1745.0,3,200ms,20,7,27
116,sat,"[2477, 2431, 1615, 812, 1417]",1750.0,5,200ms,8,6,26
117,sat,"[2645, 2420, 3321, 814, 808, 818, 1453, 2588]",1858.0,4,200ms,11,6,22
118,sat,"[2425, 2448, 2496, 3337, 822, 1211, 1618, 610, 1790]",1861.0,4,200ms,9,8,9
119,map,"[4092, 3690, 1005, 453, 1256, 1439, 825, 866, 4258]",1987.0,4,400ms,12,10,9
120,sat,"[2465, 2438, 1221, 1940]",2016.0,4,200ms,11,4,5
121,sat,"[2438, 2422, 3284, 820, 1704, 609, 2199, 2744]",2027.0,4,200ms,14,11,28
122,map,"[4067, 3263, 820, 1264, 814]",2045.0,4,400ms,11,8,23
123,sat,"[2460, 2513, 2150, 1997, 1229]",2069.0,3,200ms,8,5,4
124,sat,"[2429, 2447, 1226, 2469]",2142.0,4,200ms,8,7,8
125,sat,"[2683, 2271, 2435, 3375, 1623, 1622, 859, 2339]",2150.0,4,200ms,9,8,10
126,sat,"[2468, 2452, 3342, 836, 1623, 1419, 3046]",2169.0,3,200ms,7,5,6
127,map,[2206],2206.0,4,1100ms,14,3,26
128,map,"[4798, 2453, 810, 812, 2336]",2241.0,3,400ms,16,5,13
129,map,"[3762, 3234, 1515, 823, 1975]",2261.0,3,400ms,19,4,16
130,map,"[3776, 3229, 3644, 3288, 894, 1641, 818, 817]",2263.0,5,400ms,8,6,14
131,map,"[4036, 3709, 811, 1442, 1438, 1016, 1616, 2995, 3786]",2316.0,3,400ms,14,8,27
132,map,"[4064, 3259, 826, 1163]",2328.0,3,400ms,9,6,5
133,map,"[4870, 3118, 1207, 2449, 138]",2356.0,4,600ms,15,7,22
134,map,"[4034, 3243, 819, 1625]",2430.0,4,400ms,9,6,19
135,map,"[3633, 3624, 3272, 1622, 1203, 1257]",2435.0,4,400ms,8,5,10
136,sat,"[2456, 2486]",2471.0,4,200ms,5,3,24
137,map,"[2902, 3641, 3269, 1655, 1642, 1965]",2512.0,2,400ms,8,5,8
138,sat,"[2488, 2781]",2634.0,4,200ms,12,4,25
139,map,"[3641, 3223, 817, 928, 4592]",2640.0,4,400ms,8,5,20
140,map,"[3760, 3690, 1413, 1767]",2657.0,3,400ms,9,4,6
141,map,[2675],2675.0,2,600ms,6,2,18
142,map,"[3634, 3623, 2024, 2439, 2231, 2458]",2734.0,4,400ms,17,12,28
143,map,"[4033, 3627, 2968, 813, 1624, 3377]",2740.0,3,400ms,7,6,22
144,map,"[3786, 1475, 2985]",2748.0,5,400ms,8,2,24
145,map,"[3704, 2556, 2030]",2763.0,4,400ms,9,4,7
146,map,"[4099, 3633, 3277, 1716, 851, 3831]",2901.0,4,400ms,8,7,3
147,map,"[3798, 3253, 1626, 3003]",2920.0,1,400ms,11,1,1
148,map,"[2444, 2654, 3778]",2958.0,4,400ms,4,3,21
149,map,"[4307, 3635, 3232, 806, 2827]",2961.0,3,400ms,16,6,2
150,map,"[5439, 5486, 3374, 1215, 1212, 1811, 2464, 2771]",2971.0,2,600ms,9,7,9
151,sat,[3035],3035.0,4,600ms,10,4,23
152,map,[3040],3040.0,2,1500ms,23,2,2
153,map,"[3770, 3275, 2454, 2681]",3045.0,5,400ms,8,2,15
154,map,"[5789, 5467, 1758, 1210, 1221]",3089.0,3,600ms,31,6,2
155,map,"[3856, 2817, 2650]",3107.0,3,400ms,8,3,12
156,map,"[4065, 3639, 1889]",3197.0,4,400ms,7,4,17
157,map,"[3780, 3651, 3652, 1782]",3216.0,4,400ms,5,3,4
158,map,"[4072, 3618, 2018]",3236.0,3,400ms,7,4,25
159,sat,[3268],3268.0,4,200ms,5,1,7
160,map,"[6172, 3671, 4270, 1218, 4855, 1209, 1817]",3316.0,4,600ms,12,8,10
161,map,"[3774, 3027]",3400.0,3,400ms,12,3,11
162,map,"[4850, 1217, 2779, 4769]",3403.0,3,600ms,9,4,5
163,sat,[3438],3438.0,2,600ms,11,5,11
164,sat,"[4826, 4965, 1664, 3011, 2098, 5031]",3599.0,3,400ms,7,6,26
165,map,"[6088, 5538, 3632, 2426, 1220, 1230, 5209]",3620.0,4,600ms,20,9,28
166,sat,"[4689, 4464, 1769, 4198]",3780.0,4,400ms,8,2,20
167,map,"[5821, 5501, 4939, 1228, 1436]",3785.0,3,600ms,8,6,20
168,map,"[6032, 1540]",3786.0,3,600ms,11,4,19
169,sat,[3792],3792.0,3,400ms,9,1,11
170,sat,"[4827, 2883]",3855.0,4,400ms,9,2,19
171,map,"[5915, 2065]",3990.0,2,600ms,4,3,8
172,sat,"[4613, 4849, 2434, 4247]",4035.0,2,400ms,12,4,1
173,map,"[6063, 3684, 2294, 1222, 6995]",4051.0,3,600ms,8,5,26
174,map,"[6055, 1845, 4304]",4068.0,1,600ms,11,6,1
175,map,[4175],4175.0,4,600ms,6,4,21
176,map,"[6887, 4148, 1717, 3218, 5159]",4225.0,2,850ms,23,11,9
177,sat,"[4636, 3826]",4231.0,2,400ms,6,2,12
178,map,"[187, 6823, 5741]",4250.0,3,850ms,11,4,5
179,map,"[8566, 7689, 6946, 1713, 1712, 2812, 1729, 2835]",4250.0,4,850ms,13,8,26
180,sat,"[4844, 4431, 4450, 4261, 3292]",4255.0,4,400ms,5,5,14
181,sat,[4324],4324.0,2,400ms,6,1,18
182,sat,"[4822, 6459, 1622, 2546, 6207]",4331.0,3,400ms,9,3,9
183,map,"[6680, 1652, 4662]",4331.0,3,600ms,11,5,11
184,map,"[6033, 5428, 3541, 2416]",4354.0,3,600ms,7,3,3
185,map,"[5789, 5548, 3879, 2783]",4499.0,3,600ms,15,4,16
186,sat,"[4029, 4861, 4610]",4500.0,3,400ms,15,3,27
187,map,"[6178, 5431, 5368, 1209]",4546.0,2,600ms,12,4,27
188,map,"[5469, 3644]",4556.0,4,600ms,7,3,23
189,map,"[6024, 5427, 4281, 2888]",4655.0,2,600ms,10,8,25
190,sat,"[5014, 4839, 6501, 2571]",4731.0,3,400ms,8,3,6
191,sat,"[4644, 4883]",4763.0,5,400ms,4,3,24
192,map,"[5814, 5479, 5050, 3021]",4841.0,3,600ms,8,3,4
193,sat,"[4644, 4951, 7608, 2574]",4944.0,3,400ms,7,5,4
194,sat,"[7058, 2846]",4952.0,4,600ms,12,7,19
195,sat,"[7244, 2667]",4955.0,2,600ms,14,2,27
196,map,"[6059, 5553, 4931, 2900, 5795]",5047.0,5,600ms,8,5,15
197,sat,"[4850, 4855, 5462]",5055.0,3,400ms,13,2,21
198,sat,"[4612, 5431, 5583]",5208.0,2,400ms,16,1,16
199,sat,"[4831, 6705, 3473, 5827]",5209.0,3,400ms,12,3,10
200,map,"[6033, 4422]",5227.0,4,600ms,7,3,17
201,map,"[6969, 5427, 3974, 4600]",5242.0,2,600ms,7,2,6
202,sat,[5404],5404.0,1,600ms,16,1,25
203,sat,"[2443, 8479]",5461.0,4,600ms,7,1,7
204,map,[5481],5481.0,3,600ms,7,2,12
205,map,"[4701, 3700, 8302]",5567.0,3,850ms,8,4,21
206,map,"[4531, 6668]",5599.0,2,850ms,10,1,11
207,map,"[5763, 5463]",5613.0,4,600ms,4,3,24
208,sat,"[6965, 7240, 2770]",5658.0,3,600ms,7,3,6
209,map,"[8536, 7675, 6915, 1717, 2558, 3023, 9906]",5761.0,4,850ms,6,6,14
210,sat,"[4851, 4973, 7567]",5797.0,2,400ms,6,4,3
211,map,"[5616, 6016]",5816.0,5,850ms,9,1,15
212,sat,"[5273, 6517]",5895.0,4,400ms,6,1,7
213,sat,"[6969, 7236, 3695]",5966.0,2,600ms,13,3,9
214,map,"[8531, 7791, 5990, 6856, 1712, 4923]",5967.0,3,850ms,11,6,10
215,sat,"[7306, 3011, 7609]",5975.0,4,600ms,8,3,26
216,map,[6007],6007.0,1,1800ms,7,3,5
217,map,"[6632, 5471]",6051.0,2,1100ms,8,2,5
218,map,[6066],6066.0,4,600ms,3,3,14
219,map,"[9152, 7802, 6632, 4770, 2303]",6131.0,3,1100ms,14,7,28
220,map,"[7844, 5882, 4888]",6204.0,3,850ms,16,4,27
221,sat,"[4555, 7873]",6214.0,4,400ms,8,0,17
222,map,"[7140, 5475]",6307.0,4,600ms,4,1,7
223,sat,"[7277, 3658, 8187]",6374.0,3,600ms,15,4,22
224,map,"[8713, 7706, 6930, 3444, 3266, 8307]",6394.0,4,850ms,6,5,20
225,map,"[7815, 6355, 5118]",6429.0,2,850ms,13,3,22
226,sat,[6499],6499.0,1,600ms,5,2,18
227,sat,"[7236, 6681, 6723, 6562, 5766, 7013, 7032]",6716.0,3,600ms,5,4,14
228,sat,"[6977, 5817, 7610]",6801.0,2,600ms,16,1,16
229,sat,"[6770, 7254]",7012.0,1,600ms,4,3,8
230,map,[7109],7109.0,3,850ms,19,4,13
231,sat,"[6995, 7235, 11039, 3674]",7235.0,3,600ms,5,3,4
232,map,[7450],7450.0,3,850ms,11,4,19
233,map,"[10803, 9963, 7831, 3648, 5269]",7502.0,5,1100ms,8,7,14
234,sat,"[7234, 9510, 5844]",7529.0,2,600ms,10,3,15
235,map,"[8278, 7706, 6855]",7613.0,2,850ms,8,2,6
236,sat,"[10219, 13186, 3439, 4010]",7713.0,1,850ms,9,6,3
237,map,"[8267, 7685, 7140, 7852]",7736.0,2,850ms,8,3,4
238,sat,[7838],7838.0,3,600ms,8,2,12
239,map,"[8579, 7682, 7441]",7900.0,2,850ms,6,4,3
240,map,"[8942, 10021, 7720, 5665]",8087.0,1,1100ms,12,6,25
241,sat,"[6976, 7237, 10274]",8162.0,2,600ms,6,3,3
242,map,"[11077, 6948, 5559, 8934, 4869, 11924]",8218.0,5,1100ms,14,6,24
243,map,"[7166, 6805, 10799]",8256.0,3,1100ms,9,3,21
244,sat,"[7229, 9677]",8453.0,3,600ms,9,1,17
245,map,[8542],8542.0,4,850ms,3,3,7
246,map,[8615],8615.0,2,1100ms,7,1,19
