,type,iLTs,miLT,ACR,net_delay,no_click,TCiL,subject
0,map,"[316, 93, 94, 44, 13, 11, 17, 13, 27, 13, 35, 19, 44, 31, 86, 50, 77, 55, 101]",59.94736842105263,5,1,18,19,22
1,map,"[168, 151, 90, 91, 30, 14, 29, 12, 33, 40, 33, 55]",62.166666666666664,3,1,9,12,25
2,map,"[157, 150, 87, 101, 12, 50, 17, 12, 23, 29, 34, 86, 50, 68]",62.57142857142857,5,1,8,14,15
3,map,"[150, 158, 90, 97, 17, 23, 21, 15, 35, 26, 66]",63.45454545454545,5,1,8,11,14
4,map,"[155, 160, 85, 92, 38, 13, 22, 26, 10, 31, 25, 117, 105, 25]",64.57142857142857,4,1,7,14,6
5,map,"[167, 150, 88, 93, 50, 46, 33, 14, 44, 72, 13, 35]",67.08333333333333,4,1,6,12,12
6,map,"[170, 154, 91, 113, 39, 10, 21, 10, 12]",68.88888888888889,4,1,10,9,23
7,map,"[164, 175, 88, 92, 12, 12, 73, 35, 37, 35, 19, 93]",69.58333333333333,5,1,8,12,5
8,map,"[187, 163, 161, 89, 93, 27, 10, 25, 13, 12, 42, 34]",71.33333333333333,4,1,12,12,27
9,map,"[156, 151, 87, 92, 37, 12, 41, 36, 34]",71.77777777777777,5,1,18,9,28
10,map,"[170, 152, 89, 110, 56, 29, 47, 152, 16, 95, 77, 31, 46, 32, 44, 27, 118, 15]",72.55555555555556,4,1,10,18,2
11,map,"[279, 153, 89, 92, 31, 10, 11, 29, 16, 11, 13, 81, 42, 185]",74.42857142857143,5,1,8,14,24
12,map,"[169, 156, 88, 95, 36, 14, 25, 60, 39, 89, 69]",76.36363636363636,5,1,6,11,8
13,map,[84],84.0,1,1500,7,1,5
14,map,"[254, 150, 87, 90, 34, 52, 10, 17]",86.75,4,1,7,8,19
15,map,"[159, 176, 245, 276, 164, 88, 60, 26, 13, 13, 11, 37, 12, 49, 16]",89.66666666666667,5,1,8,15,26
16,map,"[271, 156, 88, 120, 11, 41, 11, 23, 61, 13, 193]",89.81818181818181,5,1,7,11,4
17,map,"[156, 205, 31, 245, 21, 164, 83, 56, 34, 14, 15, 10, 69, 47, 41, 38, 204, 255, 142, 50, 56, 34, 97]",89.8695652173913,3,1,17,23,7
18,map,"[692, 11, 88, 92, 16, 22, 35, 16, 34, 34, 32, 124, 83]",98.38461538461539,2,1,12,13,1
19,map,"[295, 152, 87, 82, 36, 97, 35, 36, 26, 32, 163, 148]",99.08333333333333,4,1,14,12,9
20,map,"[607, 151, 117, 98, 28, 27, 35, 13, 29, 36, 41, 34, 81]",99.76923076923077,4,1,9,13,11
21,sat,[110],110.0,2,1100,8,1,12
22,map,"[173, 183, 245, 277, 167, 87, 55, 16, 26, 22, 10]",114.63636363636364,5,1,9,11,18
23,map,"[501, 14, 88, 90, 43, 43, 24, 177, 36, 165]",118.1,4,1,6,10,20
24,map,"[920, 17, 88, 93, 33, 53, 17, 21, 53, 33, 67]",126.81818181818181,5,1,18,11,13
25,map,"[1263, 154, 88, 92, 12, 12, 28, 41, 80, 38, 16, 31, 13]",143.69230769230768,3,1,7,13,10
26,map,"[1368, 165, 245, 275, 164, 99, 103, 19, 39, 11, 22, 22, 32, 83]",189.07142857142858,5,1,19,14,16
27,map,"[966, 150, 116, 123, 17, 31, 77]",211.42857142857142,5,1,7,7,3
28,map,"[1278, 163, 248, 275, 197, 89, 60, 29, 12, 10, 15]",216.0,4,1,8,11,21
29,map,"[1260, 151, 87, 110, 11, 19, 24]",237.42857142857142,5,1,7,7,17
30,sat,"[666, 438, 1198, 80, 72, 228, 13, 169, 217, 144, 46, 108, 205, 324, 109]",267.8,3,1,12,15,2
31,sat,"[654, 425, 779, 619, 166, 67, 194, 16, 155, 46, 179, 305]",300.4166666666667,4,1,8,12,26
32,sat,"[497, 446, 478, 482, 324, 184, 65, 204, 218, 402, 222, 388, 180, 484]",326.7142857142857,5,1,7,14,14
33,sat,"[495, 600, 1216, 162, 251, 18, 81, 177, 152, 221]",337.3,4,1,8,10,1
34,sat,"[484, 592, 1167, 161, 115, 199, 113, 11, 181, 228, 184, 460, 385, 179, 421, 246, 619, 735, 202]",351.6842105263158,4,1,19,19,22
