,type,iLTs,miLT,ACR,net_delay,no_click,TCiL,subject
40,sat,"[483, 594, 646, 1040, 475, 21, 176, 147, 179, 224, 149, 451, 240, 474, 159]",363.8666666666667,5,1,20,15,28
41,sat,"[570, 594, 1209, 166, 172, 82, 189, 128, 221, 351]",368.2,4,1,12,10,9
42,sat,"[490, 594, 593, 645, 616, 321, 11, 153, 179, 224, 148, 453]",368.9166666666667,4,1,13,12,27
43,sat,"[490, 443, 569, 145, 206, 612, 37, 770, 356, 176]",380.4,5,1,9,10,3
44,sat,"[507, 592, 1196, 164, 239, 137, 257, 204, 222]",390.8888888888889,4,1,12,9,8
45,sat,"[591, 599, 1230, 192, 104, 64, 110]",412.85714285714283,5,1,6,7,21
46,sat,"[572, 593, 1172, 404, 41, 191, 181, 226, 150, 646]",417.6,4,1,8,10,5
47,sat,"[591, 645, 1173, 235, 300, 160, 55, 181, 422]",418.0,4,1,9,9,11
48,sat,"[484, 598, 645, 279, 86]",418.4,4,1,20,5,13
49,sat,"[625, 299]",462.0,5,1,4,2,24
50,map,"[1133, 916, 924, 232, 263, 261, 226, 342, 480, 253, 231, 572, 580, 228]",474.35714285714283,3,110,12,14,9
51,sat,"[475, 594, 647, 1056, 166, 166, 259]",480.42857142857144,5,1,13,7,25
52,sat,"[483, 593, 1208, 473, 166, 178, 310]",487.2857142857143,4,1,7,7,12
53,sat,"[494, 597, 647, 1087, 178, 236, 175]",487.7142857142857,5,1,7,7,17
54,sat,"[476, 602, 1189, 303, 149, 224]",490.5,4,1,7,6,19
55,sat,"[558, 648, 783, 1122, 257, 436, 204, 177, 455, 149, 655]",494.90909090909093,3,1,7,11,20
56,sat,"[714, 597, 646, 1039, 357, 249, 114]",530.8571428571429,3,1,7,7,6
57,sat,"[760, 595, 1213, 324, 203, 179, 552]",546.5714285714286,3,1,7,7,23
58,map,"[1023, 1007, 799, 923, 460, 459, 252, 231, 243, 697, 229]",574.8181818181819,4,110,11,11,10
59,map,"[1128, 919, 798, 925, 231, 251, 256, 228, 461]",577.4444444444445,4,110,14,9,16
60,map,"[1159, 1023, 954, 237, 338, 235, 465, 250, 565]",580.6666666666666,1,110,9,9,1
61,map,"[1139, 1014, 791, 928, 257, 240, 468, 231, 575, 225]",586.8,5,110,13,10,28
62,map,"[1189, 1017, 397, 249, 230, 456]",589.6666666666666,4,110,9,6,5
63,map,"[1122, 1007, 935, 233, 455, 476, 225, 234, 672]",595.4444444444445,4,110,10,9,22
64,map,"[1128, 685, 461, 233, 472]",595.8,3,110,7,5,18
65,map,"[1093, 719, 349, 235]",599.0,5,110,5,4,26
66,map,"[1105, 640, 462, 243]",612.5,4,110,7,4,8
67,map,"[1138, 1080, 938, 234, 235, 244, 300, 865, 659]",632.5555555555555,3,110,16,9,2
68,map,"[1126, 1031, 788, 921, 256, 252, 232, 465]",633.875,4,110,8,8,17
69,sat,"[848, 597, 1206, 163, 512]",665.2,5,1,7,5,15
70,map,"[1160, 925, 677, 797, 919, 457, 491, 247, 343, 659]",667.5,4,110,12,10,27
71,map,"[1103, 1021, 930, 471, 453, 237, 236, 894]",668.125,4,110,7,8,6
72,map,"[1131, 972, 938, 230, 564, 281, 229, 1045]",673.75,4,110,7,8,20
73,map,"[1228, 927, 798, 918, 474, 234, 236, 243, 1101]",684.3333333333334,4,110,18,9,13
74,map,"[1133, 1008, 935, 248, 355, 450]",688.1666666666666,3,110,9,6,25
75,map,"[1180, 1026, 937, 474, 460, 233, 565]",696.4285714285714,5,110,7,7,24
76,map,"[1669, 903, 1062, 1015, 804, 931, 350, 230, 249, 229, 567, 572, 692]",713.3076923076923,4,110,8,13,14
77,map,"[2018, 610, 270, 460, 229]",717.4,4,110,10,5,19
78,map,"[1136, 952, 798, 457, 344]",737.4,5,110,6,5,3
79,map,"[1140, 1029, 1037, 947, 242, 282]",779.5,4,110,7,6,4
80,map,"[1145, 917, 961, 461, 683, 565, 766]",785.4285714285714,4,110,7,7,12
81,map,"[2196, 1010, 925, 339, 252, 484, 455]",808.7142857142857,4,110,10,7,23
82,map,"[1454, 1011, 939, 501, 232]",827.4,5,110,6,5,21
83,map,"[1097, 1023, 948, 457, 689]",842.8,5,110,6,5,15
84,sat,"[1383, 1420, 1386, 485, 460, 496, 344, 457, 1222]",850.3333333333334,4,110,10,9,26
85,sat,"[1386, 1349, 1783, 476, 466, 468, 507, 1235, 456]",902.8888888888889,4,110,7,9,9
86,map,"[1133, 686]",909.5,4,110,4,2,7
87,sat,"[1558, 1369, 1359, 1850, 450, 485, 783, 567, 785, 679, 347]",930.1818181818181,4,110,13,11,22
88,sat,"[1391, 1237, 1243, 700, 922, 481, 463, 1025]",932.75,3,110,8,8,20
89,sat,"[1374, 1342, 1872, 477, 599, 345, 677]",955.1428571428571,4,110,9,7,1
90,sat,"[1358, 1345, 479, 737]",979.75,5,110,8,4,17
91,sat,"[1360, 1930, 1347, 486, 459, 784, 493]",979.8571428571429,4,110,13,7,7
92,sat,"[1297, 1358, 1867, 686, 785, 544, 487]",1003.4285714285714,2,110,14,7,2
93,sat,"[1353, 1348, 1832, 463, 895, 452]",1057.1666666666667,3,110,11,6,8
94,sat,"[1348, 1342, 1879, 469, 461, 685, 1332]",1073.7142857142858,3,110,8,7,5
95,sat,"[1369, 1358, 1865, 689, 786, 454]",1086.8333333333333,4,110,9,6,21
96,sat,"[1359, 1328, 1237, 1056, 455]",1087.0,4,110,6,5,18
97,sat,"[1370, 1340, 1801, 466, 472]",1089.8,4,110,11,5,25
98,sat,"[1362, 1344, 1847, 472, 806, 788]",1103.1666666666667,4,110,9,6,19
99,sat,"[1329, 1358, 1839, 482, 478, 692, 1552]",1104.2857142857142,4,110,13,7,11
100,sat,"[1357, 1345, 1835, 471, 933, 472, 1321]",1104.857142857143,4,110,8,7,6
101,sat,"[1360, 1387, 1854, 460, 1035, 344, 1037, 1556]",1129.125,4,110,7,8,4
102,sat,"[1380, 1363, 1374, 1948, 458, 513, 474, 1535]",1130.625,4,110,8,8,3
103,sat,"[1371, 1353, 1824, 949, 790, 461, 1378]",1160.857142857143,4,110,15,7,16
104,sat,"[1363, 1441, 1419, 1854, 898, 456, 463, 1128, 1389, 1259]",1167.0,5,110,18,10,28
105,sat,"[1277, 1252, 1249, 1236, 1007, 1014, 1199, 1129]",1170.375,4,110,6,8,14
106,sat,"[1364, 1352, 1353, 1832, 487, 496, 937, 1613]",1179.25,4,110,10,8,10
107,sat,"[1359, 1844, 477, 1321]",1250.25,4,110,7,4,12
108,sat,"[1371, 1810, 461, 1064, 1551]",1251.4,4,110,8,5,23
109,sat,"[1355, 1375, 1358, 1805, 1147, 465, 1334]",1262.7142857142858,4,110,13,7,27
110,sat,"[1362, 1361]",1361.5,4,110,4,2,24
111,sat,"[1365, 1362, 1366, 1850, 935]",1375.6,5,110,25,5,13
112,sat,"[1353, 1363, 1872, 1175]",1440.75,4,110,8,4,15
113,map,"[4087, 1851, 2330, 826, 811, 813, 810, 830, 807]",1462.7777777777778,4,400,14,9,26
114,sat,"[2428, 1456, 828]",1570.6666666666667,4,200,9,3,23
115,map,"[2434, 952]",1693.0,3,400,7,2,18
116,sat,"[2440, 2440, 1086, 808]",1693.5,4,200,9,4,21
117,sat,"[2052, 2511, 1224, 3259, 612, 816]",1745.6666666666667,3,200,20,6,27
118,sat,"[2477, 2431, 1615, 812, 1417]",1750.4,5,200,8,5,26
119,sat,"[2645, 2420, 3321, 814, 808, 818, 1453, 2588]",1858.375,4,200,11,8,22
120,sat,"[2425, 2448, 2496, 3337, 822, 1211, 1618, 610, 1790]",1861.888888888889,4,200,9,9,9
121,map,"[4092, 3690, 1005, 453, 1256, 1439, 825, 866, 4258]",1987.111111111111,4,400,12,9,9
122,sat,"[2465, 2438, 1221, 1940]",2016.0,4,200,11,4,5
